Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ,GroupTag
Player,0,1,3.06,0,90,0,1,1,1,Untagged
SmallDragon,78.74,1,3.97,0,270,0,0.5,0.5,0.5,Grope1
SmallDragon,74.64,1,1.55,0,270,0,0.5,0.5,0.5,Grope1
SmallDragon,113.17,2.36,4.24,0,270,0,0.5,0.5,0.5,Grope3
SmallDragon,118.87,2.45,2.73,0,270,0,0.5,0.5,0.5,Grope3
SmallDragon,144.55,1.58,7.86,0,270,0,0.5,0.5,0.5,Grope4
SmallDragon,139.39,1.58,7.86,0,270,0,0.5,0.5,0.5,Grope4
SmallDragon,118.67,2.45,6.71,0,270,0,0.5,0.5,0.5,Grope3
BossDragon,170.5,0.6,3.9,0,270,0,1,1,1,Untagged
PurpleDinosaur,74.87,1,5.22,0,270,0,0.5,0.5,0.5,Grope2
PurpleDinosaur,29.38,1,5.22,0,270,0,0.5,0.5,0.5,Untagged
PurpleDinosaur,116.39,3,2.28,0,270,0,0.5,0.5,0.5,Untagged
PurpleDinosaur,81.18,3,6.11,0,270,0,0.5,0.5,0.5,Grope2
PurpleDinosaur,79.09,3,-1.67,0,270,0,0.5,0.5,0.5,Grope2
PurpleDinosaur,145.27,3,3.64,0,270,0,0.5,0.5,0.5,Grope5
PurpleDinosaur,148.54,3,2.28,0,270,0,0.5,0.5,0.5,Grope5
Bomber,142.14,3,4.73,0,270,0,0.5,0.5,0.5,Grope5
